Start Time,End Time,Activity
2023-05-20 11:07:22,2023-05-20 11:08:48,7
2023-05-20 13:01:08,2023-05-20 13:13:17,7
2023-05-20 13:13:17,2023-05-20 13:13:29,7
2023-05-20 13:35:16,2023-05-20 13:36:40,7
2023-05-20 13:36:40,2023-05-20 13:39:41,7
2023-05-20 13:43:31,2023-05-20 13:45:06,7
2023-05-20 13:45:06,2023-05-20 13:47:19,7
2023-05-20 13:56:25,2023-05-20 14:02:39,7
2023-05-20 14:02:39,2023-05-20 14:03:02,7
2023-05-20 16:35:17,2023-05-20 16:35:35,7
2023-05-20 16:35:35,2023-05-20 16:46:23,7
2023-05-20 19:04:34,2023-05-20 19:12:38,7
2023-05-20 19:28:26,2023-05-20 19:34:01,7
2023-05-20 19:34:01,2023-05-20 19:34:31,7
2023-05-21 08:29:21,2023-05-21 08:30:16,7
2023-05-21 08:51:10,2023-05-21 08:52:12,7
2023-05-21 08:52:12,2023-05-21 08:56:45,7
2023-05-21 09:08:51,2023-05-21 09:09:11,7
2023-05-21 09:09:11,2023-05-21 09:13:38,7
2023-05-21 09:30:32,2023-05-21 09:30:36,7
2023-05-21 09:30:36,2023-05-21 09:31:55,7
2023-05-21 09:31:55,2023-05-21 09:32:24,7
2023-05-21 09:49:38,2023-05-21 09:49:58,7
2023-05-21 09:49:58,2023-05-21 09:59:17,7
2023-05-21 09:59:17,2023-05-21 09:59:32,7
2023-05-21 11:07:34,2023-05-21 11:08:46,7
2023-05-21 11:08:46,2023-05-21 11:21:07,7
2023-05-21 16:29:01,2023-05-21 16:35:50,7
2023-05-21 16:35:50,2023-05-21 16:36:01,7
2023-05-21 19:46:44,2023-05-21 19:50:15,7
2023-05-21 19:50:15,2023-05-21 19:53:27,7
2023-05-21 20:12:28,2023-05-21 20:14:16,7
2023-05-21 20:14:16,2023-05-21 20:23:43,7
2023-05-22 07:36:06,2023-05-22 07:41:39,7
2023-05-22 07:49:55,2023-05-22 07:50:49,7
2023-05-22 07:50:49,2023-05-22 07:53:52,7
2023-05-22 07:53:52,2023-05-22 07:54:41,7
2023-05-22 08:34:19,2023-05-22 08:34:29,7
2023-05-22 08:34:29,2023-05-22 08:47:16,7
2023-05-22 08:47:16,2023-05-22 08:48:06,7
2023-05-22 11:04:38,2023-05-22 11:04:41,7
2023-05-22 11:04:41,2023-05-22 11:06:03,7
2023-05-22 11:09:52,2023-05-22 11:11:19,7
2023-05-22 12:59:55,2023-05-22 13:12:59,7
2023-05-22 13:18:25,2023-05-22 13:19:48,7
2023-05-22 13:30:45,2023-05-22 13:31:14,7
2023-05-22 13:31:14,2023-05-22 13:47:36,7
2023-05-22 13:47:36,2023-05-22 13:48:34,7
2023-05-22 16:27:26,2023-05-22 16:27:48,7
2023-05-22 16:27:48,2023-05-22 16:42:37,7
2023-05-22 20:15:50,2023-05-22 20:27:24,7
2023-05-22 20:27:24,2023-05-22 20:27:31,7
2023-05-22 21:59:37,2023-05-22 22:01:08,7
2023-05-22 22:01:08,2023-05-22 22:11:34,7
2023-05-22 22:11:34,2023-05-22 22:11:59,7
2023-05-22 23:05:38,2023-05-22 23:06:28,7
2023-05-22 23:06:28,2023-05-22 23:06:30,7
2023-05-23 07:31:05,2023-05-23 07:40:54,7
2023-05-23 07:55:24,2023-05-23 07:55:34,7
2023-05-23 07:55:34,2023-05-23 08:01:33,7
2023-05-23 08:32:05,2023-05-23 08:45:56,7
2023-05-23 10:54:08,2023-05-23 10:55:55,7
2023-05-23 10:55:55,2023-05-23 11:08:09,7
2023-05-23 13:06:31,2023-05-23 13:09:19,7
2023-05-23 13:10:34,2023-05-23 13:26:46,7
2023-05-23 13:48:21,2023-05-23 13:55:44,7
2023-05-23 13:57:09,2023-05-23 14:00:56,7
2023-05-23 16:29:25,2023-05-23 16:40:50,7
2023-05-23 16:40:50,2023-05-23 16:41:08,7
2023-05-23 19:06:41,2023-05-23 19:07:52,7
2023-05-23 19:07:52,2023-05-23 19:12:04,7
2023-05-23 19:26:51,2023-05-23 19:35:33,7
2023-05-23 20:09:40,2023-05-23 20:09:43,7
2023-05-23 20:09:43,2023-05-23 20:22:05,7
2023-05-23 22:08:14,2023-05-23 22:08:17,7
2023-05-23 22:08:17,2023-05-23 22:17:26,7
2023-05-23 22:18:43,2023-05-23 22:18:49,7
2023-05-23 22:18:49,2023-05-23 22:22:55,7
2023-05-24 07:36:26,2023-05-24 07:36:47,7
2023-05-24 07:36:47,2023-05-24 07:42:48,7
2023-05-24 07:54:32,2023-05-24 07:55:30,7
2023-05-24 07:55:30,2023-05-24 08:01:04,7
2023-05-24 08:36:08,2023-05-24 08:38:00,7
2023-05-24 08:38:00,2023-05-24 08:47:23,7
2023-05-24 08:47:23,2023-05-24 08:48:19,7
2023-05-24 10:48:17,2023-05-24 10:49:16,7
2023-05-24 11:06:48,2023-05-24 11:09:35,7
2023-05-24 11:29:02,2023-05-24 11:31:49,7
2023-05-24 12:21:01,2023-05-24 12:22:28,7
2023-05-24 12:22:28,2023-05-24 12:37:20,7
2023-05-24 12:40:25,2023-05-24 12:41:32,7
2023-05-24 12:41:32,2023-05-24 12:42:55,7
2023-05-24 12:42:55,2023-05-24 12:43:55,7
2023-05-24 12:45:57,2023-05-24 12:46:05,7
2023-05-24 12:46:05,2023-05-24 12:47:00,7
2023-05-24 12:47:00,2023-05-24 12:47:08,7
2023-05-24 15:53:54,2023-05-24 15:55:06,7
2023-05-24 15:55:06,2023-05-24 15:55:57,7
2023-05-24 15:55:57,2023-05-24 15:56:21,7
2023-05-24 16:00:29,2023-05-24 16:00:33,7
2023-05-24 16:00:33,2023-05-24 16:13:41,7
2023-05-24 16:13:41,2023-05-24 16:21:34,0
2023-05-24 16:21:34,2023-05-24 16:25:40,7
2023-05-24 17:20:11,2023-05-24 17:42:07,0
2023-05-24 18:24:33,2023-05-24 18:43:33,1
2023-05-24 18:55:53,2023-05-24 18:57:37,7
2023-05-24 18:57:37,2023-05-24 19:14:04,7
2023-05-24 19:16:28,2023-05-24 19:19:57,7
2023-05-24 19:20:47,2023-05-24 19:22:22,7
2023-05-24 19:54:33,2023-05-24 20:24:57,0
2023-05-24 20:57:06,2023-05-25 01:07:34,0
2023-05-25 01:43:45,2023-05-25 04:34:00,0
2023-05-25 04:34:00,2023-05-25 04:45:00,7
2023-05-25 04:45:00,2023-05-25 05:45:00,0
2023-05-25 05:45:00,2023-05-25 05:55:00,7
2023-05-25 05:55:00,2023-05-25 09:16:07,0
2023-05-25 20:19:38,2023-05-25 20:21:56,7
2023-05-26 12:42:58,2023-05-26 13:00:20,0
2023-05-26 13:14:51,2023-05-26 13:37:36,0
2023-05-26 13:37:36,2023-05-26 13:38:36,7
2023-05-26 13:38:36,2023-05-26 13:38:53,7
2023-05-27 13:09:55,2023-05-27 13:11:18,7
2023-05-27 13:11:18,2023-05-27 13:11:30,7
2023-05-28 08:36:34,2023-05-28 08:37:55,7
2023-05-28 12:20:01,2023-05-28 12:21:25,7
2023-05-28 12:21:25,2023-05-28 12:21:38,7
2023-05-28 12:40:49,2023-05-28 12:42:41,7
2023-05-28 19:32:52,2023-05-28 20:34:02,0
2023-05-29 10:24:31,2023-05-29 10:34:02,0
2023-05-30 13:34:02,2023-05-30 13:35:27,7
2023-05-30 13:35:27,2023-05-30 13:36:35,7
2023-05-30 14:19:12,2023-05-30 14:20:07,7
2023-05-30 21:57:38,2023-05-30 21:58:57,7
2023-05-31 15:24:56,2023-05-31 15:40:08,0
2023-05-31 16:12:32,2023-05-31 20:50:32,0
2023-05-31 20:50:32,2023-05-31 20:53:44,7
2023-05-31 21:00:14,2023-05-31 21:00:19,7
2023-05-31 21:00:19,2023-05-31 21:03:06,7
2023-05-31 21:12:50,2023-05-31 21:14:13,8
2023-05-31 21:20:20,2023-06-01 05:03:46,0
2023-06-01 05:08:50,2023-06-01 05:09:48,7
2023-06-01 05:11:06,2023-06-01 05:11:36,8
2023-06-01 05:17:50,2023-06-01 05:39:16,0
2023-06-01 05:39:16,2023-06-01 05:40:42,7
2023-06-01 05:40:42,2023-06-01 05:41:01,7
2023-06-01 05:56:06,2023-06-01 07:20:02,0
2023-06-01 07:20:02,2023-06-01 07:24:05,7
2023-06-01 07:24:05,2023-06-01 07:24:29,7
2023-06-01 07:56:58,2023-06-01 07:59:42,7
2023-06-01 07:59:42,2023-06-01 08:19:08,7
2023-06-01 08:29:16,2023-06-01 08:36:03,7
2023-06-01 12:02:40,2023-06-01 12:02:49,7
2023-06-01 12:02:49,2023-06-01 12:06:47,7
2023-06-01 12:39:52,2023-06-01 12:40:14,7
2023-06-01 12:40:14,2023-06-01 12:52:22,7
2023-06-01 12:52:22,2023-06-01 12:54:39,7
2023-06-01 13:32:10,2023-06-01 13:36:08,7
2023-06-01 13:55:34,2023-06-01 14:07:01,7
2023-06-01 15:49:07,2023-06-01 15:49:56,7
2023-06-01 15:49:56,2023-06-01 15:51:39,7
2023-06-01 15:53:34,2023-06-01 15:57:05,7
2023-06-01 15:57:05,2023-06-01 16:02:39,7
2023-06-01 16:02:39,2023-06-01 16:05:24,7
2023-06-01 19:34:49,2023-06-01 19:35:39,7
2023-06-01 19:35:39,2023-06-01 19:39:56,7
2023-06-01 19:59:19,2023-06-01 20:11:15,7
2023-06-02 08:33:45,2023-06-02 08:49:47,7
2023-06-02 10:14:55,2023-06-02 10:24:51,7
2023-06-02 10:37:40,2023-06-02 10:44:59,7
2023-06-02 10:51:41,2023-06-02 10:53:05,7
2023-06-02 11:03:49,2023-06-02 11:05:13,7
2023-06-02 12:00:35,2023-06-02 12:15:45,7
2023-06-02 12:27:35,2023-06-02 12:32:10,7
2023-06-02 12:37:22,2023-06-02 12:45:37,7
2023-06-02 12:45:37,2023-06-02 12:45:59,7
2023-06-02 13:47:00,2023-06-02 13:59:07,7
2023-06-02 13:59:07,2023-06-02 13:59:45,7
2023-06-02 14:00:31,2023-06-02 14:12:57,0
2023-06-02 15:38:50,2023-06-02 15:43:35,7
2023-06-02 15:43:35,2023-06-02 15:43:59,7
2023-06-02 15:46:52,2023-06-02 15:48:11,7
2023-06-02 15:48:11,2023-06-02 15:49:11,7
2023-06-02 15:59:55,2023-06-02 16:01:43,7
2023-06-02 16:01:43,2023-06-02 16:02:10,7
2023-06-02 16:12:58,2023-06-02 16:15:41,7
2023-06-02 16:15:41,2023-06-02 16:28:59,7
2023-06-02 19:39:22,2023-06-02 19:44:57,7
2023-06-02 20:08:20,2023-06-02 20:09:14,7
2023-06-02 20:09:14,2023-06-02 20:12:26,7
2023-06-02 20:12:26,2023-06-02 20:12:43,7
2023-06-02 20:23:40,2023-06-02 20:26:24,7
2023-06-02 20:26:24,2023-06-02 20:26:40,7
2023-06-02 22:25:15,2023-06-02 22:26:20,7
2023-06-02 22:26:20,2023-06-02 22:29:07,7
2023-06-02 22:29:07,2023-06-02 22:29:32,7
2023-06-02 23:13:26,2023-06-02 23:14:45,7
2023-06-02 23:14:45,2023-06-02 23:15:22,7
2023-06-03 08:30:47,2023-06-03 08:42:43,7
2023-06-03 08:49:35,2023-06-03 08:49:40,7
2023-06-03 08:49:40,2023-06-03 08:50:39,7
2023-06-03 10:57:10,2023-06-03 10:57:56,7
2023-06-03 10:57:56,2023-06-03 10:59:09,7
2023-06-03 11:05:20,2023-06-03 11:08:22,7
2023-06-03 11:08:22,2023-06-03 11:08:26,7
2023-06-03 12:24:36,2023-06-03 12:32:30,7
2023-06-03 12:38:22,2023-06-03 12:39:16,7
2023-06-03 12:39:16,2023-06-03 12:44:57,7
2023-06-03 13:07:27,2023-06-03 13:07:44,7
2023-06-03 13:07:44,2023-06-03 13:09:07,7
2023-06-03 13:09:07,2023-06-03 13:09:32,7
2023-06-03 13:18:54,2023-06-03 13:22:52,7
2023-06-03 19:13:43,2023-06-03 19:14:03,7
2023-06-03 19:14:03,2023-06-03 19:18:34,7
2023-06-03 19:31:09,2023-06-03 19:36:43,7
2023-06-03 19:56:52,2023-06-03 19:58:02,7
2023-06-03 19:58:02,2023-06-03 20:00:40,7
2023-06-03 20:00:40,2023-06-03 20:00:41,7
2023-06-04 09:03:07,2023-06-04 09:08:42,7
2023-06-04 09:08:42,2023-06-04 09:09:05,7
2023-06-04 09:24:05,2023-06-04 09:36:22,7
2023-06-04 09:36:22,2023-06-04 09:36:55,7
2023-06-04 11:23:26,2023-06-04 11:26:10,7
2023-06-04 11:26:10,2023-06-04 11:26:28,7
2023-06-04 11:27:29,2023-06-04 11:36:18,7
2023-06-04 11:37:54,2023-06-04 11:39:13,7
2023-06-04 12:20:19,2023-06-04 12:21:07,7
2023-06-04 12:21:07,2023-06-04 12:26:15,7
2023-06-04 12:26:15,2023-06-04 12:26:35,7
2023-06-04 19:05:10,2023-06-04 19:07:11,7
2023-06-04 19:07:11,2023-06-04 19:09:25,7
2023-06-04 19:09:25,2023-06-04 19:10:58,7
2023-06-04 19:14:01,2023-06-04 19:15:01,7
2023-06-04 19:29:12,2023-06-04 19:29:24,7
2023-06-04 19:29:24,2023-06-04 19:36:23,7
2023-06-05 00:16:23,2023-06-05 00:17:23,7
2023-06-05 08:29:03,2023-06-05 08:31:27,7
2023-06-05 08:31:27,2023-06-05 08:40:52,7
2023-06-05 08:49:15,2023-06-05 08:51:58,7
2023-06-05 08:51:58,2023-06-05 08:52:16,7
2023-06-05 09:01:53,2023-06-05 09:01:59,7
2023-06-05 09:01:59,2023-06-05 09:02:54,7
2023-06-05 09:07:43,2023-06-05 09:11:43,7
2023-06-05 10:26:40,2023-06-05 10:27:44,7
2023-06-05 10:27:44,2023-06-05 10:30:56,7
2023-06-05 10:30:56,2023-06-05 10:31:02,7
2023-06-05 10:55:47,2023-06-05 10:55:53,7
2023-06-05 10:55:53,2023-06-05 10:59:21,7
2023-06-05 12:32:46,2023-06-05 12:34:09,7
2023-06-05 12:36:05,2023-06-05 12:38:46,7
2023-06-05 12:38:46,2023-06-05 12:39:40,7
2023-06-05 12:39:40,2023-06-05 12:39:55,7
2023-06-05 12:46:56,2023-06-05 12:53:15,7
2023-06-05 13:24:41,2023-06-05 13:25:47,7
2023-06-05 13:25:47,2023-06-05 13:30:52,7
2023-06-05 13:40:40,2023-06-05 13:41:34,7
2023-06-05 13:41:34,2023-06-05 13:53:42,7
2023-06-05 15:16:51,2023-06-05 15:18:21,7
2023-06-05 15:18:21,2023-06-05 15:27:39,7
2023-06-05 15:43:19,2023-06-05 16:00:07,7
2023-06-05 16:00:07,2023-06-05 16:00:14,7
2023-06-05 16:06:59,2023-06-05 16:07:10,7
2023-06-05 16:07:10,2023-06-05 16:10:59,7
2023-06-05 16:17:45,2023-06-05 16:23:15,7
2023-06-05 16:23:15,2023-06-05 16:23:35,7
2023-06-05 19:07:20,2023-06-05 19:07:35,7
2023-06-05 19:07:35,2023-06-05 19:12:42,7
2023-06-05 19:28:19,2023-06-05 19:30:03,7
2023-06-05 19:30:03,2023-06-05 19:33:06,7
2023-06-05 19:33:06,2023-06-05 19:33:14,7
2023-06-05 22:44:03,2023-06-05 22:45:27,7
2023-06-06 08:30:52,2023-06-06 08:50:04,7
2023-06-06 09:20:28,2023-06-06 09:29:22,7
2023-06-06 09:49:06,2023-06-06 09:54:41,7
